,predicted_mean
1006,4764.37189126777
1007,4773.382289780667
1008,4767.859381358339
1009,4775.10942527134
1010,4772.750248021487
1011,4775.983869476753
1012,4777.897259625884
1013,4777.164892442693
1014,4782.275446665326
1015,4779.429780351747
1016,4785.425088764642
1017,4782.898244238979
1018,4787.543919020287
1019,4787.11488891278
1020,4789.259582832177
1021,4791.377346846436
1022,4791.253062807403
1023,4795.10884149676
1024,4793.9362871857375
1025,4798.095619408957
1026,4797.319976769084
1027,4800.508917175
1028,4801.092446505336
1029,4802.7463739618115
1030,4804.829332640813
1031,4805.203045052784
1032,4808.211068845012
1033,4808.091368707384
1034,4811.147090508295
1035,4811.382163158255
1036,4813.769454631683
1037,4814.868372989298
1038,4816.326034692488
1039,4818.2968190704205
1040,4819.043060226337
1041,4821.493544442988
1042,4822.026227104756
1043,4824.4267989968
1044,4825.237532299137
1045,4827.191883949367
1046,4828.5426235042105
1047,4829.941085415778
1048,4831.792309860409
1049,4832.802178874589
1050,4834.893849929776
1051,4835.825138972919
1052,4837.841565276515
1053,4838.975528262303
1054,4840.701272462092
1055,4842.167848360784
1056,4843.565283919846
1057,4845.31527220716
1058,4846.5046860116245
1059,4848.369608243062
1060,4849.541275100235
1061,4851.3352675237065
1062,4852.647877970071
1063,4854.256273294643
1064,4855.770988456309
1065,4857.187874720675
1066,4858.860717796551
1067,4860.168951544767
1068,4861.892843148323
1069,4863.207657971076
1070,4864.874524836698
1071,4866.284105646536
1072,4867.834486197025
1073,4869.365304621468
1074,4870.805386107919
1075,4872.422975742792
1076,4873.808070191138
1077,4875.445493723804
1078,4876.844507216576
1079,4878.439726429027
1080,4879.900827396369
1081,4881.424037573275
1082,4882.956966316607
1083,4884.41749469888
1084,4885.997128349766
1085,4887.431006931389
1086,4889.016115958409
1087,4890.4640406760345
1088,4892.019494364617
1089,4893.507250749931
1090,4895.018802414077
1091,4896.548590202757
1092,4898.025032144182
1093,4899.579380402921
1094,4901.043718612108
1095,4902.597575158703
1096,4904.073548388093
1097,4905.607312301267
1098,4907.108388663847
1099,4908.615732220207
1100,4910.14109588406
1101,4911.629087719822
1102,4913.166991795679
1103,4914.650071154423
1104,4916.185487464364
1105,4917.677326603232
1106,4919.199499331431
1107,4920.706914206739
1108,4922.213384855783
1109,4923.734650074944
1110,4925.230650170781
1111,4926.758069574169
1112,4928.252525105537
1113,4929.777195184245
1114,4931.2778759473085
1115,4932.794007349632
1116,4934.304216733532
1117,4935.811130776038
1118,4937.329127650656
1119,4938.830500318784
1120,4940.351347284243
1121,4941.852620517464
1122,4943.371107516453
1123,4944.876633380011
1124,4946.389715998317
1125,4947.900994812463
1126,4949.408734015337
1127,4950.9243235326585
1128,4952.429209939326
1129,4953.945998461266
1130,4955.451307044294
1131,4956.966284008015
1132,4958.474413530455
1133,4959.98602448002
1134,4961.49758386588
1135,4963.006137184143
1136,4964.520040595857
1137,4966.027177914033
1138,4967.541494637457
1139,4969.049162328148
1140,4970.562175527294
1141,4972.0716714782175
1142,4973.582618307796
1143,4975.094133972257
1144,4976.603355233439
1145,4978.116118950447
1146,4979.624673069058
1147,4981.137503704398
1148,4982.646533230384
1149,4984.158465476747
1150,4985.668657296093
1151,4987.179337869693
1152,4988.690704304842
1153,4990.200425741328
1154,4991.712439649571
1155,4993.221871857578
1156,4994.7338201237435
1157,4996.243625453088
1158,4997.7549737393165
1159,4999.265505810544
1160,5000.776105494489
1161,5002.287311974302
1162,5003.7973876117
1163,5005.308918825585
1164,5006.818887655898
1165,5008.330318450422
1166,5009.840559486046
1167,5011.3515993051315
1168,5012.862288067212
1169,5014.372885679393
1170,5015.883956423809
1171,5017.3942734100865
1172,5018.905499511766
1173,5020.415792012045
1174,5021.926923114719
1175,5023.437405023828
1176,5024.948286424002
1177,5026.459040437836
1178,5027.969663841243
1179,5029.480631029418
1180,5030.991107797563
1181,5032.502144086132
1182,5034.012629371908
1183,5035.523589159867
1184,5037.034201854165
1185,5038.545004883468
1186,5040.055780837587
1187,5041.566435245394
1188,5043.077328208221
1189,5044.587908366115
1190,5046.098828253232
1191,5047.609426955246
1192,5049.120290169509
1193,5050.63097237437
1194,5052.1417386631565
1195,5053.652517610032
1196,5055.163199421197
1197,5056.674041368312
1198,5058.18468716588
1199,5059.695536614633
1200,5061.206201212954
1201,5062.717010814275
1202,5064.227728998595
1203,5065.7384794951095
1204,5067.249254300474
1205,5068.759957468048
1206,5070.270765415921
1207,5071.781452206835
1208,5073.292259568082
1209,5074.802961962657
1210,5076.313742313016
1211,5077.824478487549
1212,5079.335223261675
1213,5080.8459921602625
1214,5082.356710840972
1215,5083.867496670458
1216,5085.378208689014
1217,5086.888991212302
1218,5088.399714991267
1219,5089.910479704419
1220,5091.421224447492
1221,5092.9319680131275
1222,5094.4427314215945
1223,5095.953460864715
1224,5097.464232587838
1225,5098.974959922989
1226,5100.4857279689795
1227,5101.996463667684
1228,5103.507220227289
1229,5105.01796875363
1230,5106.528712897004
1231,5108.03947192048
1232,5109.55020858699
1233,5111.060971465258
1234,5112.5717079813285
1235,5114.0824676958555
1236,5115.593209928196
1237,5117.103962370772
1238,5118.614712349356
1239,5120.125457592717
1240,5121.6362133833545
1241,5123.146954775685
1242,5124.657712191128
1243,5126.16845414233
1244,5127.679209126226
1245,5129.189954870737
1246,5130.700705324404
1247,5132.211455688028
1248,5133.722202021303
1249,5135.232955546253
1250,5136.7436999668225
1251,5138.25445405446
1252,5139.765199183693
1253,5141.275951520328
1254,5142.786699108793
1255,5144.297448663777
1256,5145.808198972765
