,predicted_mean
175,6617.141704292118
176,6639.952283448269
177,6642.314517038246
178,6632.77675489658
179,6642.69142505311
180,6657.438359943392
181,6655.276171627023
182,6653.367939032542
183,6665.062384265913
184,6673.205724956041
185,6671.229502949197
186,6674.612236576905
187,6684.8549663825615
188,6689.079482007143
189,6689.24038577483
190,6695.264454349499
191,6703.130368590749
192,6705.804912441655
193,6708.26789345815
194,6714.978329838451
195,6720.8149886345
196,6723.433981691951
197,6727.550573693481
198,6733.899162558286
199,6738.488456279857
200,6741.706693303942
201,6746.68394915127
202,6752.336559047553
203,6756.4014963826285
204,6760.311166955432
205,6765.542109648202
